id	nom	typeLibelle	typeCode	rangChallenges	mediaType	mediaPeriodicite	mediaEchelle	commentaire
2518942	TMC	Média	3		Télévision			Gratuit
165522	République française	État	4					
8751639	République fédérale d’Allemagne	État	4					
667066	Renault	Personne morale	2					
6219676	La Chaîne parlementaire	Média	3		Télévision			Gratuit
4439599	Public Sénat	Média	3		Télévision			Gratuit
2767557	France Médias Monde	Personne morale	2					
930775	France Télévision	Personne morale	2					
389465	Radio France	Personne morale	2					
5481038	Arte France	Personne morale	2					
4236182	Monte Carlo Doualiya	Média	3		Radio		International	
3489026	Radio France International	Média	3		Radio		International	
4230583	France 24	Média	3		Télévision		International	
7592502	TV5 Monde	Média	3		Télévision		International	
9108101	France 2	Média	3		Télévision			Gratuit
4792263	France 3	Média	3		Télévision			Gratuit
89512	France 5	Média	3		Télévision			Gratuit
728781	France 4	Média	3		Télévision			Gratuit
8432194	France Ô	Média	3		Télévision			Gratuit
6535076	France info	Média	3		Télévision/radio			Gratuit
4270808	France Inter	Média	3		Radio		National	
178853	France Musique	Média	3		Radio		National	
8483886	France Culture	Média	3		Radio		National	
4669601	FIP	Média	3		Radio		National	
1739621	France Bleu	Média	3		Radio		National	
3278645	France Info	Média	3		Radio		National	
5619068	Mouv'	Média	3		Radio		National	
295278	Arte	Média	3		Télévision			Gratuit
7064898	ARD / ZDF	Personne morale	2					
1136610	Arte Deutschland TV GmbH	Personne morale	2					
4946674	Les Augustins de l’Assomption	Personne morale	2					
8904630	Bayard	Personne morale	2					
3781641	La Croix	Média	3		GPE	Quotidien		
4788121	Pèlerin	Média	3		GPE	Hebdomadaire		
5611111	Notre temps	Média	3		GPE	Mensuel		
6040902	Jean-Paul Baudecroux	Personne physique	1	178				
4389547	NRJ Group	Personne morale	2					
9426729	NRJ 12	Média	3		Télévision			Gratuit
4457047	Chérie 25	Média	3		Télévision			
6782208	NRJ	Média	3		Radio		National	
3652652	Rire et Chansons	Média	3		Radio		National	
7382701	Chérie FM	Média	3		Radio		National	
4162207	Nostalgie	Média	3		Radio		National	
3711355	Famille Hutin	Personne physique	1					
8536447	Famille Hurbain	Personne physique	1	105				
388749	Crédit Agricole Nord de France	Personne morale	2					
1544068	Association pour le soutien des principes de la démocratie humaniste	Personne morale	2					
2988822	Groupe SIPA - Ouest	Personne morale	2					
9176209	Ouest France	Média	3		Régional	Quotidien	Régional	
4334615	Le Courrier de l'Ouest	Média	3		Régional	Quotidien	Régional	
6670428	Le Maine libre	Média	3		Régional	Quotidien	Régional	
1008314	Presse-Océan	Média	3		Régional	Quotidien	Régional	
6583075	La Presse de la Manche	Média	3		Régional	Quotidien	Régional	
5194149	Publi Hebdos	Média	3		Régional	Quotidien et hebdomadaire	Régional	
3661995	Sofiouest	Personne morale	2					
4723037	20 Minutes	Média	3		GPE	Quotidien		
4465561	Groupe Rossel	Personne morale	2					
3081709	Groupe Rossel La Voix	Personne morale	2					
9607204	La Voix du Nord SA	Personne morale	2					
7197260	La Voix du Nord	Média	3		Régional	Quotidien	Régional	
4493977	Nord éclair	Média	3		Régional	Quotidien	Régional	
2526111	Nord Littoral	Média	3		Régional	Quotidien	Régional	
8916505	Courrier picard	Média	3		Régional	Quotidien	Régional	
6179854	L'aisne Nouvelle	Média	3		Régional	Quotidien	Régional	
6614318	L'Union - L'Ardennais	Média	3		Régional	Quotidien	Régional	
946966	L'Est-éclair - Libération Champagne	Média	3		Régional	Quotidien	Régional	
6578435	L'Avenir de l'Artois	Média	3		Régional	Hebdomadaire	Régional	
7583380	Les Echos du Touquet	Média	3		Régional	Hebdomadaire	Régional	
8606851	Le Journal des Flandres	Média	3		Régional	Hebdomadaire	Régional	
4049125	Le Messager	Média	3		Régional	Hebdomadaire	Régional	
5317719	L'Essor savoyard	Média	3		Régional	Hebdomadaire	Régional	
7631841	Le Pays gessien	Média	3		Régional	Hebdomadaire	Régional	
1984723	La Tribune républicaine	Média	3		Régional	Hebdomadaire	Régional	
6400962	La Savoie	Média	3		Régional	Hebdomadaire	Régional	
8432663	Le Phare Dunkerquois	Média	3		Régional	Hebdomadaire	Régional	
7131561	La Semaine dans le Boulonnais	Média	3		Régional	Hebdomadaire	Régional	
4536487	Le Réveil de Berck	Média	3		Régional	Hebdomadaire	Régional	
7802554	Le Journal de Montreuil	Média	3		Régional	Hebdomadaire	Régional	
2222984	L'indicateur	Média	3		Régional	Hebdomadaire	Régional	
8839603	L'Echo de la Lys	Média	3		Régional	Hebdomadaire	Régional	
3358465	Crédit Mutuel	Personne morale	2					
1229278	Groupe EBRA	Personne morale	2					
9337158	L'Est républicain	Média	3		Régional	Quotidien	Régional	
4220931	Le Républicain lorrain	Média	3		Régional	Quotidien	Régional	
6028389	DNA	Média	3		Régional	Quotidien	Régional	
6101088	Vosges Matin	Média	3		Régional	Quotidien	Régional	
7142183	L'Alsace	Média	3		Régional	Quotidien	Régional	
9014944	Le Bien public	Média	3		Régional	Quotidien	Régional	
1761734	Le Journal de Saône-et-Loire	Média	3		Régional	Quotidien	Régional	
1440653	Le Progrès	Média	3		Régional	Quotidien	Régional	
3225567	Le Dauphiné libéré	Média	3		Régional	Quotidien	Régional	
7999167	Vaucluse Matin	Média	3		Régional	Quotidien	Régional	
8817606	Le Journal de la Haute-Marne	Média	3		Régional	Quotidien	Régional	
7047719	Fondation Varenne	Personne morale	2					
